WORD,COUNT
dementors,3
hagger,3
hogwarts,3
riddikulus,3
accio,2
auror,2
avada,2
azkaban,2
blibbering,2
booklists,2
bowtruckles,2
butterbeer,2
cho,2
dai,2
dat,2
dem,2
dilys,2
dubbledore,2
expecto,2
expelliarmus,2
grandpr,2
grawp,2
grawpy,2
grimmauld,2
gryffindor,2
kedavra,2
kreacher,2
lovegood,2
mrs,2
mudbloods,2
muggle,2
nooooo,2
occlumency,2
padfoot,2
patronum,2
petrificus,2
quaffle,2
righ,2
rowling,2
silencio,2
sirius,2
slytherins,2
spellwork,2
stup,2
tha,2
thestrals,2
totalus,2
umbridge,2
wandless,2
weasley,2
wizarding,2
aaaaaaaaargh,1
aaaaaah,1
aaaaargh,1
aaaah,1
aaah,1
aaargh,1
abercrombie,1
aberforth,1
abraxan,1
acanthia,1
acromantulas,1
addacked,1
albus,1
algie,1
almostdeserted,1
alohomora,1
andor,1
anglia,1
animagus,1
anxiouslooking,1
apparate,1
apparated,1
apparating,1
apparation,1
apparators,1
aquavirius,1
aragog,1
araminta,1
arithmancy,1
asiatic,1
assyria,1
attemp,1
aurors,1
bagnold,1
banges,1
barklike,1
baruffio,1
batbogey,1
beetlelike,1
bellatrix,1
bered,1
bethnal,1
binns,1
blackwalled,1
blisterpod,1
bonaccord,1
boulderish,1
bowtruckle,1
boyship,1
bproaches,1
britain,1
british,1
brutus,1
buckbeak,1
bulbadox,1
bulstrode,1
butterbeers,1
cadogan,1
callisto,1
caradoc,1
cleansweep,1
cleansweeps,1
cleverlooking,1
collo,1
colloportus,1
colorcoded,1
conjunctivitus,1
conjurus,1
countercurse,1
countercurses,1
counterjinx,1
counterjinxes,1
crabbe,1
cragg,1
creevey,1
crookshanks,1
crownshaped,1
cruc,1
cruciatus,1
crucio,1
crumplehorned,1
crup,1
crups,1
curlyhaired,1
cursebreakers,1
darkgreen,1
december,1
dedalus,1
delacour,1
demembers,1
demenders,1
dementoids,1
dementor,1
demort,1
derwent,1
diagon,1
diddykins,1
didja,1
diffindo,1
diggory,1
dippet,1
disapparate,1
disapparated,1
disapparating,1
dolohov,1
dorcas,1
dorkins,1
doxycide,1
dr,1
droobles,1
dungbomb,1
dungbombs,1
durmstrang,1
dursleys,1
dweamed,1
edgecombe,1
eeenglish,1
eemprove,1
eentup,1
elladora,1
elphias,1
emeraldgreen,1
erised,1
etc,1
euan,1
europa,1
evanesco,1
expelliarmious,1
expellimellius,1
extendables,1
fawkes,1
february,1
fellytone,1
fessor,1
fidgetings,1
fifteenthcentury,1
fiftyseven,1
figg,1
figgy,1
fighding,1
finchfletchley,1
finnigan,1
firebolt,1
firelegs,1
firewhisky,1
flagrate,1
flitterbloom,1
flobberworm,1
flobberworms,1
floo,1
forcement,1
fortescue,1
fortyten,1
fourthyear,1
fplrohfkd,1
friday,1
frizzyhaired,1
frobisher,1
frustratedly,1
fwightened,1
garamond,1
gerroff,1
gilderoy,1
gillywater,1
gobstones,1
godric,1
goldstein,1
golgomath,1
graffittied,1
greengrass,1
gringotts,1
grubblyplank,1
gryff,1
gryffindors,1
gryffndor,1
gubraithian,1
gurg,1
hab,1
hagrid,1
hairysnouted,1
halfscared,1
halfwished,1
heartstopping,1
heliopaths,1
heptomology,1
herbione,1
highpitched,1
hippocrates,1
hmmm,1
hogsmeade,1
hogsmeaders,1
honeydukes,1
horrorstruck,1
householdy,1
huffepuff,1
hufflepuff,1
hufflepuffs,1
hufflepujf,1
hygien,1
iddum,1
ifzat,1
iii,1
imperius,1
imperturbed,1
impervius,1
inanimatus,1
inc,1
incarcerous,1
inspec,1
irish,1
isbn,1
ix,1
january,1
janus,1
jetblack,1
jewelbright,1
jugson,1
july,1
kacky,1
karkus,1
kirke,1
klaxonlike,1
kneazle,1
kneazles,1
kunnit,1
lachlan,1
ladislaw,1
lamplike,1
lastminute,1
latin,1
lefthand,1
legilimency,1
legilimens,1
lestrange,1
lestranges,1
letteropening,1
levine,1
leviosa,1
lhe,1
lhim,1
longbottom,1
longbottoms,1
longfingered,1
lowhanging,1
lpower,1
ltd,1
lumos,1
lunascope,1
macmillan,1
macnair,1
madeye,1
magorian,1
magpielike,1
mailorder,1
malfoy,1
malfoys,1
mallowsweet,1
manuela,1
marblelike,1
marchbanks,1
maxime,1
mcgonagall,1
mckinnon,1
meadowes,1
meliflua,1
meself,1
metamorphmagi,1
metamorphmagus,1
midgen,1
mighta,1
mimbletonia,1
mimbulus,1
ministryapproved,1
mmm,1
monday,1
mousyhaired,1
mr,1
mudblood,1
muggleborn,1
muggles,1
mulciber,1
murtlap,1
musta,1
myst,1
narcissa,1
nargles,1
nevilles,1
niffler,1
nifflers,1
nigellus,1
ninetyseventh,1
ning,1
nofe,1
noooooo,1
nooooooo,1
nooooooooo,1
nuffink,1
nymphadora,1
obliviator,1
occlu,1
occlumens,1
october,1
oooh,1
ooooh,1
oooooh,1
orblike,1
orn,1
oughta,1
outta,1
paracelsus,1
parkinson,1
parvati,1
patil,1
patronus,1
patronuses,1
peachlike,1
peevesy,1
pensieve,1
pigwidgeon,1
pince,1
plantes,1
pluto,1
podmore,1
polkiss,1
polyjuice,1
pomfrey,1
popkin,1
portkey,1
portus,1
potionmaking,1
prewett,1
prewetts,1
proph,1
protego,1
pucey,1
puddifoot,1
puddlemere,1
puffskeins,1
pugfaced,1
pumbles,1
purkiss,1
quaffles,1
quickquotes,1
quirrell,1
rabastan,1
rackharrow,1
ragnok,1
ravenclaw,1
ravenclaws,1
redhaired,1
rednosed,1
reducto,1
remembrall,1
remembralls,1
reparo,1
righd,1
rodolphus,1
rookwood,1
rubeus,1
saturday,1
saturn,1
saylor,1
scabbers,1
scourgify,1
screechsnap,1
scrimgeour,1
scrivenshaft,1
scrofungulus,1
scufflings,1
scurryings,1
sechew,1
selffertilizing,1
sensoring,1
september,1
severus,1
shacklebolt,1
shhh,1
shoulda,1
sibyll,1
singlehandedly,1
sinistra,1
skrewts,1
skusin,1
slashkilter,1
slimbach,1
slinkhard,1
slytherin,1
smethwyck,1
snackbox,1
snackboxes,1
snape,1
sneakoscopes,1
snivellus,1
snorgle,1
snorkack,1
snorkacks,1
snowflecked,1
spanish,1
spattergroit,1
spellbooks,1
spellman,1
spellotape,1
spindlelegged,1
spokeswizard,1
squelchily,1
stebbins,1
stimpson,1
stinkpellets,1
stinksap,1
stormswept,1
stubbyfingered,1
stube,1
stubefy,1
stupef,1
summerby,1
sunday,1
tague,1
tarantallegra,1
taur,1
tbpibv,1
technicolor,1
tenebrus,1
ter,1
th,1
theorycentered,1
thestral,1
thickey,1
throatclearing,1
thronelike,1
thursday,1
tibbies,1
tiberius,1
tibet,1
toadishly,1
tofty,1
toujours,1
towler,1
trelawney,1
triwizard,1
tronus,1
tther,1
tutshill,1
twentythree,1
twentytwo,1
twoo,1
ubbly,1
umgubular,1
unhatching,1
unintell,1
uninvestigated,1
unliftable,1
unlighter,1
unplottable,1
unseeingly,1
untransfigure,1
uranus,1
urgh,1
urnbridge,1
urquhart,1
usa,1
veritaserum,1
viciouslooking,1
vii,1
viii,1
viktor,1
viktors,1
voldemort,1
voldything,1
waistlength,1
walrod,1
warnin,1
wartcap,1
watchwizard,1
weasleys,1
wednesday,1
weedylooking,1
whad,1
whadda,1
whaddever,1
whaddid,1
wheeeeeeeeee,1
whiteblond,1
whizbee,1
whizbees,1
whozair,1
wid,1
wiltshire,1
wimbledon,1
wingardium,1
winky,1
wiv,1
wizengamot,1
wormtail,1
woulda,1
wrongfooted,1
wulfric,1
yer,1
yerse,1
yerself,1
yerselves,1
yoooou,1
zamojski,1
zeller,1
zonko,1
